#separator:Pipe
#columns:Key|Word|Masculine Singular|Feminine Singular|Masculine Plural|Feminine Plural|Adverb|Infinitive|Past Participle|Present Participle|Basic meanings of word|Example sentences|Wiktionary
#notetype:French to English Noun
#deck:French Courses::B2.2::Vocab
adj-autoproclamé|autoproclamé|autoproclamé|autoproclamée|autoproclamés|autoproclamées|||||Adjective: self-proclaimed||
adj-branché|branché|branché|branchée|branchés|branchées|||||Adjective: trendy||
adj-courant|courant|courant|courante|courants|courantes|||||Adjective: current/ present, fluent||
adj-criard|criard|criard|criarde|criards|criardes|||||Adjective: (sound) shrill, (colour) garish||
adj-dominical|dominical|dominical|dominicale|dominicaux|dominicales|||||Adjective: related to Sunday||
adj-déjanté|déjanté|déjanté|déjantée|déjantés|déjantées|||||Adjective: crazy, eccentric||
adj-déraisonnable|déraisonnable|déraisonnable||déraisonnables||||||Adjective: unreasonable||
adj-fade|fade|fade||fades||||||Adjective: bland, tasteless||
adj-farouche|farouche|farouche||farouches||||||Adjective: shy, stubborn||
adj-fondamental|fondamental|fondamental|fondamentale|fondamentaux|fondamentales|||||Adjective: fundamental||
adj-haut de gamme|haut de gamme|haut de gamme||||||||Adjective: upscale/ high-end||
adj-incontournable|incontournable|incontournable||incontournables||||||Adjective: unmissable||
adj-indissociable|indissociable|indissociable||indissociables||||||Adjective: inseparable||
adj-indécent|indécent|indécent|indécente|indécents|indécentes|||||Adjective: indecent||
adj-indéniable|indéniable|indéniable||indéniables||||||Adjective: undeniable||
adj-influent|influent|influent|influente|influents|influentes|||||Adjective: influential||
adj-intemporel|intemporel|intemporel|intemporelle|intemporels|intemporelles|||||Adjective: timeless||
adj-légitime|légitime|légitime||légitimes||||||Adjective: legitimate||
adj-omniprésent|omniprésent|omniprésent|omniprésente|omniprésents|omniprésentes|||||Adjective: omnipresent||
adj-outré|outré|outré|outrée|outrés|outrées|||||Adjective: excessive, outrageous, outraged||
adj-phobique|phobique|phobique||phobiques||||||Adjective: phobic||
adj-pur|pur|pur|pure|purs|pures|||||Adjective: pure||
adj-ringard|ringard|ringard|ringarde|ringards|ringardes|||||Adjective: old fashioned, cheesy||
adj-risible|risible|risible||risibles||||||Adjective: laughable||
adj-tapageur|tapageur|tapageur|tapageuse|tapageurs|tapageuses|||||Adjective: rowdy/ noisy, garish/ gaudy||
adv-exagérément|exagérément|||||exagérément||||Adverb: exaggeratedly||
adv-néanmoins|néanmoins|||||néanmoins||||Adverb: however, nonetheless||
misc-compte tenu de|compte tenu de|||||compte tenu de||||given/ considering/ in light of||
misc-faire fi de|faire fi de|||||faire fi de||||to turn one's nose up at (disdain), to pay no heed to (disregard)||
misc-l'habit ne fait pas le moine|l'habit ne fait pas le moine|||||l'habit ne fait pas le moine||||the clothing doesn't make the monk (you can't judge a book by its cover)||
misc-le dernier cri|le dernier cri|||||le dernier cri||||the latest thing/ latest fashion||
misc-quoique|quoique|||||quoique||||(conjunction) (+ subjunctive) though/ although||
misc-tant que|tant que|||||tant que||||(conjunction) as long as||
misc-tel|tel|||||tel||||(conjunction) like/ as, such as||
misc-tenir compte|tenir compte|||||tenir compte||||to take into account||
noun-Cendrillon|Cendrillon||la Cendrillon|||||||Noun: Cinderella||
noun-abus|abus|l'abus||||||||Noun: abuse||
noun-algue|algue||l'algue||les algues|||||Noun: algae||
noun-allure|allure||l'allure||les allures|||||Noun: appearance||
noun-apparence|apparence||l'apparence||les apparances|||||Noun: appearance||
noun-audace|audace||l'audace||les audaces|||||Noun: audacity||
noun-aviron|aviron|l'aviron||les avirons||||||Noun: (uncountable) rowing, oar||
noun-barquette|barquette||la barquette||les barquettes|||||Noun: punnet||
noun-bonnet|bonnet|le bonnet||les bonnets||||||Noun: beanie, hat||
noun-broche|broche||la broche||les broches|||||Noun: brooch||
noun-broutille|broutille||la broutille||les broutilles|||||Noun: trifle (inconsequential thing)||
noun-bucheron|bucheron|le bucheron||les bucherons||||||Noun: lumberjack||
noun-bétail|bétail|le bétail||les bétails||||||Noun: livestock||
noun-chiffon|chiffon|le chiffon||les chiffons||||||Noun: rag||
noun-coupure|coupure||la coupure||les coupures|||||Noun: the act of cutting/ a cut, interruption/ power cut||
noun-courant|courant|le courant||les courants||||||Noun: current (water, electricity)||
noun-dangerosité|dangerosité||la dangerosité||les dangerosités|||||Noun: dangerousness||
noun-essor|essor|l'essor||les essors||||||Noun: flight||
noun-essuie-tout|essuie-tout|l'essuie-tout||||||||Noun: paper towel||
noun-excentricité|excentricité||l'excentricité|||||||Noun: eccentric behaviour||
noun-fringue|fringue||la fringue||les fringues|||||Noun: piece of clothing||
noun-friperie|friperie||la friperie||les friperies|||||Noun: used clothes, second hand shop||
noun-fripe|fripe||la fripe||les fripes|||||Noun: rag, second hand clothes||
noun-gamme|gamme||la gamme||les gammes|||||Noun: range/ series, (music) scale||
noun-germe|germe|le germe||les germes||||||Noun: germ, seed||
noun-habit|habit|l'habit||les habits||||||Noun: article of clothing||
noun-investissement|investissement|l'investissement||les investissements||||||Noun: investment||
noun-lèvre|lèvre||la lèvre||les lèvres|||||Noun: lip||
