#separator:Pipe
#columns:Key|Word|Masculine Singular|Feminine Singular|Masculine Plural|Feminine Plural|Adverb|Infinitive|Past Participle|Present Participle|Basic meanings of word|Example sentences|Wiktionary
#notetype:French to English Noun
#deck:French Courses::B1.5::Vocab
adj-abordable|abordable|abordable|abordable|abordables|abordables|||||Adjective: affordable||
adj-approprié|approprié|approprié|appropriée|appropriés|appropriées|||||Adjective: appropriate||
adj-cadet|cadet|cadet|cadette|cadets|cadettes|||||Adjective: younger sibling (2nd born)||
adj-chronophage|chronophage|chronophage|chronophage|chronophages|chronophages|||||Adjective: time consuming||
adj-cohérent|cohérent|cohérent|cohérente|cohérents|cohérentes|||||Adjective: coherent||
adj-contemporain|contemporain|contemporain|contemporaine|contemporains|contemporaines|||||Adjective: Contemporary, of the current era||
adj-extraconjugal|extraconjugal|extraconjugal|extraconjugale|extraconjugals|extraconjugales|||||Adjective: extramarital (e.g. an affair)||
adj-illimité|illimité|illimité|illimitée|illimités|illimitées|||||Adjective: limitless/ unlimited||
adj-infidèle|infidèle|infidèle|infidèle|infidèles|infidèles|||||Adjective: unfaithful||
adj-ingrat|ingrat|ingrat|ingrate|ingrats|ingrates|||||Adjective: ungrateful||
adj-ludique|ludique|ludique||ludiques||||||Adjective: playful/ relating to games||
adj-occidental|occidental|occidental|occidentale|occidentaux|occidentales|||||Adjective: Western||
adj-polémique|polémique|polémique|polémique|polémiques|polémiques|||||Adjective: controversial||
adj-prenant|prenant|prenant|prenante|prenants|prenantes|||||Adjective: gripping/ captivating||
adj-serein|serein|serein|sereine|sereins|sereines|||||Adjective: serene/ calm||
adj-thématique|thématique|thématique||thématiques||||||Adjective: relating to themes||
adj-éloigné|éloigné|éloigné|éloignée|éloignés|éloignées|||||Adjective: remote/ distant||
adj-étendu|étendu|étendu|étendue|étendus|étendues|||||Adjective: Extensive (wide), Extended (family)||
adv-constamment|constamment|||||constamment||||Adverb: constantly||
adv-idem|idem|||||idem||||Adverb: Likewise/ the same||
adv-inutilement|inutilement|||||inutilement||||Adverb: uselessly||
adv-localement|localement|||||localement||||Adverb: locally||
adv-toutefois|toutefois|||||toutefois||||Adverb: however/ nonetheless||
misc-afin|afin|||||afin||||so that/ in order to (followed by de or que)||
misc-c'est le train train quotidien|c'est le train train quotidien|||||c'est le train train quotidien||||It's daily life / business as usual||
misc-coureur de jupons|coureur de jupons|||||coureur de jupons||||Skirt chaser/ womaniser||
misc-en extérieur|en extérieur|||||en extérieur||||outside||
misc-en groupe|en groupe|||||en groupe||||Do something in a group||
misc-en équipe|en équipe|||||en équipe||||Do something as a team||
misc-enterrement de vie de garçon (EVG)|enterrement de vie de garçon (EVG)|||||enterrement de vie de garçon (EVG)||||Buck's party||
misc-enterrement de vie de jeune fille (EVJF)|enterrement de vie de jeune fille (EVJF)|||||enterrement de vie de jeune fille (EVJF)||||Hen's party||
misc-faire part|faire part|||||faire part||||to inform/ tell||
misc-l'âge bête|l'âge bête|||||l'âge bête||||adolescence||
misc-l'âge ingrat|l'âge ingrat|||||l'âge ingrat||||(lit.) ungrateful age/ adolescence||
misc-la formule d'appel|la formule d'appel|||||la formule d'appel||||The 1st line in a letter addressing the audience||
misc-le coup de foudre|le coup de foudre|||||le coup de foudre||||Kind of love at first sight||
misc-le panneaux solaire|le panneaux solaire|||||le panneaux solaire||||solar panel||
misc-les lunettes de vue|les lunettes de vue|||||les lunettes de vue||||prescription/ reading glasses||
misc-malgré|malgré|||||malgré||||(preposition) despite||
misc-nul / nulle|nul / nulle|||||nul / nulle||||(pronoun) no one/ nobody||
misc-plein à craquer|plein à craquer|||||plein à craquer||||filled to the brim/ to bursting||
misc-quant à|quant à|||||quant à||||Speaking of... To introduce a new topic||
misc-un terrain d'entente|un terrain d'entente|||||un terrain d'entente||||Common ground/ understanding||
misc-voisin de palier|voisin de palier|||||voisin de palier||||neighbour on the same floor||
misc-à deux|à deux|||||à deux||||2 people do something||
misc-à plusiers|à plusiers|||||à plusiers||||Multiple people do something||
noun-Bisonours|Bisonours|le Bisounours||||||||Noun: Care Bear||
noun-abri|abri|l'abri||les abris||||||Noun: shelter||
noun-adhésion|adhésion||l'adhésion||les adhésions|||||Noun: adhesion||
noun-adolescence|adolescence||l'adolescence||les adolescences|||||Noun: adolescence||
noun-affinité|affinité||l'affinité||les affinités|||||Noun: affinity||
noun-ambiance|ambiance||l'ambiance||les ambiances|||||Noun: ambiance||
noun-ange|ange|l'ange||les anges||||||Noun: angel||
noun-arrière-petit-fils|arrière-petit-fils|l'arrière-petit-fils|l'arrière-petite-fille|les arrière-petits-fils||||||Noun: great grandchild||
noun-artichaut|artichaut|l'artichaut||les artichauts||||||Noun: artichoke||
noun-assainissement|assainissement|l'assainissement||les assainissements||||||Noun: sanitation||
noun-aïeul|aïeul|l'aïeul|l'aïeule|les aïeuls||||||Noun: grandparent||
noun-baptême|baptême|le baptême||les baptêmes||||||Noun: baptism||
noun-benjamin|benjamin|le banjamin|la benjamine|les benjamins||||||Noun: youngest child||
noun-bouquet|bouquet|le bouquet||les bouquets||||||Noun: bouquet||
noun-bourreau|bourreau|le bourreau||les bourreaux||||||Noun: executioner||
noun-buanderie|buanderie||la buanderie||les buanderies|||||Noun: laundry||
noun-budget|budget|le budget||les budgets||||||Noun: budget||
noun-calembour|calembour|le calembour||les calembours||||||Noun: pun, word game||
noun-canaille|canaille||la canaille||les canailles|||||Noun: scoundrel/ dishonest person||
noun-casanier|casanier|le casanier|la casanière|les casaniers|les casanières|||||Noun: (also adj) homebody||
noun-centre d'intérêt|centre d'intérêt|le centre d'intérêt||les centres d'intérêts||||||Noun: area of interest, hobby||
noun-chasse au trésor|chasse au trésor||la chasse au trésor||les chasses au trésor|||||Noun: treasure hunt||
noun-chasse|chasse||la chasse||les chasses|||||Noun: hunt||
noun-chiffre|chiffre|le chiffre||les chiffres||||||Noun: a digit (number)||
noun-collaborateur|collaborateur|le collaborateur|la collaboratrice|les collaborateurs||||||Noun: collaborator (at work)||
noun-comité|comité|le comité||les comités||||||Noun: committee||
noun-concubinage|concubinage|le concubinage||les concubinages||||||Noun: living together with a partner without being married||
noun-conflit|conflit|le conflit||les conflits||||||Noun: conflict||
noun-couche|couche||la couche||les couches|||||Noun: nappy||
noun-coureur|coureur|le coureur|la coureuse|les coureurs||||||Noun: runner||
noun-cousinade|cousinade||la cousinade||les cousinades|||||Noun: family reunion||
noun-coutume|coutume||la coutume||les coutumes|||||Noun: custom||
noun-croisement|croisement|le croisement||les croisements||||||Noun: crossing||
noun-croissance|croissance||la croissance||les croissances|||||Noun: growth||
noun-croque-mitaine|croque-mitaine|le croque-mitaine||les croque-mitaines||||||Noun: boogeyman||
noun-crédit|crédit|le crédit||les crédits||||||Noun: credit||
noun-culte|culte|le culte||les cultes||||||Noun: religion (not derogatory)||
noun-cérémonie|cérémonie||la cérémonie||les cérémonies|||||Noun: ceremony||
noun-descendant|descendant|le descendant|la descendante|les descendants||||||Noun: descendant||
noun-diable|diable|le diable||les diables||||||Noun: devil||
noun-doudou|doudou|le doudou||les doudous||||||Noun: stuffed toy||
noun-décor|décor|le décor||les décors||||||Noun: decor||
noun-enterrement|enterrement|l'enterrement||les enterrements||||||Noun: burial/ funeral||
noun-faiseur|faiseur|le faiseur|la faiseuse|les faiseurs||||||Noun: maker||
noun-filleul|filleul|le filleul|la filleule|les filleuls||||||Noun: godchild||
noun-foule|foule||la foule||les foules|||||Noun: crowd||
noun-funérailles|funérailles||||les funérailles|||||Noun: funeral||
noun-gendre|gendre|le gendre||les gendres||||||Noun: son-in-law||
noun-gosse|gosse|le gosse|la gosse|les gosses||||||Noun: (colloquial) kid||
noun-individu|individu|l'individu||les individus||||||Noun: individual||
noun-itinéraire|itinéraire|l'itinéraire||les itinéraires||||||Noun: itinerary||
noun-jumeau|jumeau|le jumeau|la jumelle|les jumeaux||||||Noun: twin||
noun-lessive|lessive||la lessive||les lessives|||||Noun: laundry/ washing||
noun-maniaque|maniaque|le maniaque|la maniaque|les maniaques||||||Noun: (also adj) maniac, obsessive person||
noun-marmot|marmot|le marmot|la marmotte|les marmots||||||Noun: (colloquial) kid||
