Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
acceptation;;l'acceptation;;les acceptations;acceptance, approval;;
accusation;;l'accusation;;les accusations;accusation;;
achat;l'achat;;les achats;;buy, purchase;;
aïeux;;;les aïeux;;ancestors, old people (plural only);;
ajout;l'ajout;;les ajouts;;addition;;
alimentation;;l'alimentation;;les alimentations;food;;
amélioration;;l'améliration;;les améliorations;improvement;;
analyse;;l'analyse;;les analyses;analysis;;
apprentissage;l'apprentissage;;les apprentissages;;learning, apprenticeship;;
astuce;;l'astuce;;les astuces;trick, tip;;
attente;;l'attente;;les attentes;wait;;
auditeur;l'auditeur;l'auditrice;les auditeurs;;auditor, listener;;
augmentation;;l'augmentation;;les augmentations;increase/raise, pay raise;;
autorité;;l'autorité;;les autorités;authority;;
beauf;le beauf;;les beaufs;;bogan;;
beauté;;la beauté;;les beautés;beauty;;
cambriolage;le cambriolage;;les cambriolages;;burglary;;
catégorie;;la catégorie;;les catégories;category;;
catastrophe;;la catastrophe;;les catastrophes;catastrophe;;
chauffage;le chauffage;;les chauffages;;heating;;
chômage;le chômage;;les chômages;;unemployment;;
chômeur;le chômeur;la chômeuse;les chômeurs;les chômeuses;unemployed person;;
citoyenneté;;la citoyenneté;;les citoyennetés;citizenship;;
comportement;le comportement;;les comportements;;behaviour, demeanour;;
concours;le concours;;les concours;;competition, contest;;
conséquence;;la conséquence;;les conséquences;consequence;;
consommation;;la consommation;;les consommations;consumption;;
constat;le constat;;les constats;;observation, statement;;
contenu;le contenu;;les contenus;;content;;
continuation;;la continuation;;les continuations;continuation;;
conviction;;la conviction;;les convictions;conviction;;
corail;le corail;;les coraux;;coral;;
création;;la création;;les créations;creation;;
critique;;la critique;;les critiques;criticism, review. Adjective: critical;;
croyance;;la croyance;;les croyances;belief;;
défi;le défi;;les défis;;challenge;;
dépendance;;la dépendance;;les dépendances;dependence/reliance/dependency;;
développement;le développement;;les développements;;development;;
diplomatie;;la diplomatie;;les diplomaties;diplomacy;;
discours;discours;;les discours;;(uncountable and countable) speech;;
disparition;;la disparition;;les disparitions;disappearance;;
don;le don;;les dons;;gift, donation;;
écriture;;l'écriture;;les écritures;writing, handwriting;;
élection;;l'élection;;les élections;election;;
électricité;;l'électricité;;les électricités;electricity;;
encart;l'encart;;les encarts;;Piece of publicity;;
énergie;;l'énergie;;les énergies;energy;;
engagement;l'engagement;;les engagements;;commitment, engagement;;
entente;;l'entente;;les ententes;agreement, interpretation;;
espérance;;l'espérance;;les espérances;hope (more spiritual than espoir);;
exigence;;l'exigence;;les exigence;demand;;
exil;l'exil;;les exils;;exile;;
explication;;l'explication;;les explications;explanation;;
facture;;la facture;;les factures;bill;;
fermeture;;la fermeture;;les fermetures;closing;;
fondation;;la fondation;;les fondations;foundation;;
formation;;la formation;;les formations;education, formation;;
forme;;la forme;;les formes;form;;
France profonde;;la France pronde;;;(lit.) Deep France. Meaning very conservative country areas.;;
fuite;;la fuite;;les fuites;escape;;
infographie;;l'infographie;;les infographies;diagram, computer graphics;;
initiative;;l'initiative;;les initiatives;initiative;;
gain;le gain;;les gains;;gain;;
géomètre;le géomètre;la géomètre;les géomètres;les géomètres;surveyor;;
geste;le geste;;les gestes;;gesture;;
gestion;;la gestion;;les gestions;administration, management;;
gouvernement;le gouvernement;;les gouvernements;;government;;
héritage;l'héritage;;les héritages;;heritage, inheritance, legacy;;
hors-piste;l'hors-piste;;les hors-pistes;;off-piste;;
impair;l'impair;;les impairs;;blunder, mistake (also adj.) (maths) odd;;
impatience;;l'impatience;;les impatiences;impatience;;
importance;;l'importance;;les importances;importance, significance;;
incendie;l'incendie;;les incendies;;fire;;
interdiction;;l'interdiction;;les interdictions;ban;;
intérêt;l'intérêt;;les intérêts;;interest;;
internaute;l'internaute;l'internaute;les internautes;les internatues;internet user;;
intervenant;l'intervenant;l'intervenante;les intervenants;les intervenantes;speaker, stakeholder, consultant;;
kéké;le kéké;;les kékés;;show off;;
Islande;;Islande;;;Iceland;;
lagon;le lagon;;les lagons;;lagoon;;
lauréat;le lauréat;;les lauréats;;prizewinner (also adj);;
littérature;;la littérature;;les littératures;literature;;
lutte;;la lutte;;les luttes;struggle, fight, battle;;
lycéen;le lycéen;la lycéenne;les lycéens;les lycéenes;student at lycée;;
maintien;le maintien;;les maintiens;;upkeep, maintaining, behaviour;;
manège;le manège;;les manèges;;amusement park ride;;
masse;;la masse;;les masses;a large amount of something (a mass), a majority (of people), mass (physics), a paste, dough;;
mélodie;;la mélodie;;les mélodies;melody;;
mémoire (m);le mémoire;;les mémoires;;memo, memoir, dissertation (compare to feminine);;
mémoire (f);;la mémoire;;les mémoires;memory (compare to masculine);;
militaire;le militaire;;les militaires;;military (also adj.);;
ministère;le ministère;;les ministères;;ministry;;
mise en place;;la mise en place;;les mises en place;installation. Literally put in place;;
mot-clé;le mot-clé;;les mots-clés;;keyword;;
nouvelle;;la nouvelle;;les nouvelles;Piece of news. Novella/short story.;;
occasion;;l'occasion;;les occasions;occasion;;
onde;;l'onde;;les ondes;(technical) wave;;
ONG;;l'Organisation non-gouvernementale;;;NGO. Non government organisation;;
organisateur;l'organisateur;l'organisatrice;les organisateurs;les organisatrices;organiser, host;;
organisation;;l'organisation;;les organisations;organisation;;
outil;l'outil;;les outils;;tool;;
ouverture;;l'ouverture;;les ouvertures;opening;;
pair;le pair;;les pairs;;peer (also adj.) (maths) even;;
pari;le pari;;les paris;;bet;;
partenariat;le partenariat;;les partenariats;;partnership;;
passage;le passage;;les passages;;passage of text;;
pensée;;la pensée;;les pensées;thought;;
permanence;;la permanence;;les permanences;permanence;;
personnel;le personnel;;les personnels;;staff, personnel;;
planète;;la planète;;les planètes;planet;;
pointe;;la pointe;;les pointes;point;;
polyglotte;le polyglotte;la polyglotte;les polyglottes;les polyglottes;a polyglot (also adj.);;
potin;le potin;;les potins;;gossip (mainly in plural);;
pratique;;la pratique;;les pratique;practice;;
préoccupation;;la préoccupation;;les préoccupations;worry, (plural) cares, concern;;
prise;;la prise;;les prises;hold, (film) a take, (electrical) socket;;
prise de conscience;;la prise de conscience;;les prises de conscience;realisation;;
programme;le programme;;les programmes;;program;;
protecteur;le protecteur;la protectrice;les protecteurs;;protector;;
protocole;le protocole;;les protocoles;;protocol;;
putaclic;le putaclic;;les putaclics;;(also adj.) clickbait;;
racisme;le racisme;;;;racism;;
rappeur;le rappeur;la rappeuse;les rappeurs;les rappeuses;rapper;;
réchauffement climatique;le réchauffement climatique;;;;global warming;;
récif;le récif;;les récifs;;reef;;
recueil;le recueil;;les recueils;;collection;;
rédacteur;le rédacteur;la rédactrice;les rédacteurs;les rédactrices;editor, author of a book or publication;;
rédacteur en chef;le rédacteur en chef;la rédactrice en chef;les rédacteurs en chef;les rédactrices en chef;editor in chief;;
responsabilité;;la responsabilité;;les responsabilitiés;responsibility;;
résultat;le résultat;;les résultats;;outcome, result;;
réveil;le réveil;;les réveils;;waking up, alarm clock;;
revue;;la revue;;les revues;magazine, journal;;
roue de secours;;la roue de secours;;les roues de secours;spare wheel;;
sensibilisation;;la sensibilisation;;les sensibilisations;the process of becoming more sensitive;;
serre;;la serre;;les serres;greenhouse;;
silhouette;;la silhouette;;les silhouettes;silhouette;;
solidarité;;la solidarité;;les solidarités;solidarity;;
statut;le statut;;les statuts;;status, statute;;
suspect;le suspect;la suspecte;les suspects;;suspect;;
tampon;le tampon;;les tampons;;plug, tampon, sponge, stamp, buffer (zone);;
taxe;;la taxe;;les taxes;tax;;
thème;le thème;;les thèmes;;theme;;
usager;l'usager;l'usagère;les usagers;;user;;
vente;;la vente;;les ventes;sale;;
verdure;;la verdure;;les verdures;greenness (like grassy areas);;
vitrine;;la vitrine;;les vitrines;shop window;;
vœu;le vœu;;les vœux;;vow, wish;;
voisinage;le voisinage;;les voisinage;;neighbourhood;;
volontaire;le volontaire;la volontaire;les volontaires;les volontiares;volunteer (or voluntary) (also adj.);;
volontariat;le volontariat;;les volontariats;;volunteering (act of volunteering);;
